hour,count,method,mae,rmse,mase,bias
8,177,hist_gradient_boosting,155.29838632,192.44524637,2.89100712,-92.0344609
9,177,hist_gradient_boosting,57.64351404,77.19822994,1.0730814,-9.96332801
10,177,hist_gradient_boosting,56.4093573,72.02835089,1.05010656,-22.13835643
11,177,hist_gradient_boosting,80.81091406,105.88851808,1.5043616,-37.39503208
12,177,hist_gradient_boosting,91.77187705,122.41129331,1.70840893,-40.33376533
13,179,hist_gradient_boosting,97.53657756,130.58302503,1.81572357,-40.27540845
14,179,hist_gradient_boosting,96.11125268,128.54696544,1.78918998,-37.90396135
15,179,hist_gradient_boosting,91.93674386,121.50496337,1.71147806,-35.79360963
16,179,hist_gradient_boosting,90.5353942,122.09882428,1.68539079,-25.31467892
17,179,hist_gradient_boosting,177.87785748,207.03794935,3.31134254,-114.93766687
18,179,hist_gradient_boosting,147.29785968,176.99026568,2.74207074,-78.67409648
19,179,hist_gradient_boosting,73.47350055,94.47539253,1.36776961,-10.69435201
20,179,hist_gradient_boosting,56.52466482,76.1895799,1.0522531,-4.50526515
21,179,hist_gradient_boosting,48.64650575,66.01736507,0.90559469,-1.39619607
22,179,hist_gradient_boosting,42.54886884,57.16510279,0.79208217,-1.74146854
23,179,hist_gradient_boosting,36.93192312,46.27709385,0.68751811,-9.87385987
